scenario_id,scenario_type,price_current,price_avg_4h,soc,prediction,expected,passed,failure_reason,rationale
0,high_price_high_soc,0.17513996140117322,0.16638296333111455,0.8215621309439417,-24.663894653320312,discharge,True,,Sell expensive power when battery is full
1,high_price_high_soc,0.19127953463165193,0.18171555790006932,0.7821777949550525,-8.599331855773926,discharge,False,"Expected |power| > 20.0, got 8.60",Sell expensive power when battery is full
2,high_price_high_soc,0.1981025780235413,0.18819744912236425,0.720480170160512,-22.472469329833984,discharge,True,,Sell expensive power when battery is full
3,high_price_high_soc,0.18672098493452124,0.17738493568779518,0.847300436679512,-14.861204147338867,discharge,False,"Expected |power| > 20.0, got 14.86",Sell expensive power when battery is full
4,high_price_high_soc,0.18091476982829527,0.1718690313368805,0.712707848961716,-4.695229530334473,discharge,False,"Expected |power| > 20.0, got 4.70",Sell expensive power when battery is full
5,high_price_high_soc,0.15665263931861442,0.1488200073526837,0.7428430876877357,-3.420379400253296,discharge,False,"Expected |power| > 20.0, got 3.42",Sell expensive power when battery is full
6,high_price_high_soc,0.18535045931488855,0.17608293634914413,0.7127076008074527,-19.06794548034668,discharge,False,"Expected |power| > 20.0, got 19.07",Sell expensive power when battery is full
7,high_price_high_soc,0.19210653502852204,0.18250120827709593,0.7441164342033186,-1.6271926164627075,discharge,False,"Expected |power| > 20.0, got 1.63",Sell expensive power when battery is full
8,high_price_high_soc,0.15647652901393783,0.14865270256324092,0.7512769883338222,-13.75003433227539,discharge,False,"Expected |power| > 20.0, got 13.75",Sell expensive power when battery is full
9,high_price_high_soc,0.1830619754267683,0.17390887665542987,0.7676338797351996,-0.7087533473968506,discharge,False,"Expected |power| > 20.0, got 0.71",Sell expensive power when battery is full
10,low_price_low_soc,0.07149747060608118,0.07507234413638524,0.19106207132368508,-7.176431179046631,charge,False,"Expected |power| > 20.0, got 7.18",Buy cheap power when battery is empty
11,low_price_low_soc,0.07090159879550176,0.07444667873527686,0.20799335658703605,-5.3983869552612305,charge,False,"Expected |power| > 20.0, got 5.40",Buy cheap power when battery is empty
12,low_price_low_soc,0.06763256874373708,0.07101419718092393,0.22414151420066344,10.011037826538086,charge,False,"Expected |power| > 20.0, got 10.01",Buy cheap power when battery is empty
13,low_price_low_soc,0.05995767644374339,0.06295556026593056,0.2869632755339433,0.5088121294975281,charge,False,"Expected |power| > 20.0, got 0.51",Buy cheap power when battery is empty
14,low_price_low_soc,0.07567997293750856,0.07946397158438398,0.29400482209198964,8.522509574890137,charge,False,"Expected |power| > 20.0, got 8.52",Buy cheap power when battery is empty
